export,import 1,import 2,import 3
Carboxylic Acids,Chemical Analysis Instruments,Phenols,Other Tin Products
Carded Wool or Animal Hair Fabric,Horsehair Yarn,Non-Knit Men's Shirts,Carboxyamide Compounds
Cars,Motor vehicles; parts and accessories (8701 to 8705),Electrical Lighting and Signalling Equipment,Seats
Cast Iron Pipes,Aluminium Plating,Glass Working Machines,Other Plastic Products
Cast or Rolled Glass,Cobalt,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays","Niobium, Tantalum, Vanadium and Zirconium Ore"
Casting Machines,Graphite,Manganese,Petroleum Gas
Cathode Tubes,Uncoated Paper,Other Domestic Electric Housewares,Laboratory Glassware
Cellulose,Borax,Vegetable Saps,Amine Compounds
Cellulose Fibers Paper,Non-woven Textiles,Uncoated Paper,Kaolin Coated Paper
Cement,Wood Crates,Small Iron Containers,Wheat
Cement Articles,Raw Plastic Sheeting,Float Glass,Synthetic Filament Yarn Woven Fabric
Central Heating Boilers,Liquid Fuel Furnaces,Other Plastic Sheetings,Other Iron Products
Centrifuges,Bells and Other Metal Ornaments,Light Fixtures,Salt
Ceramic Bricks,Rolling Machines,Stone Working Machines,Machinery Having Individual Functions
Ceramic Tableware,Ethylene Polymers,Clocks with Watch Movements,Sugar Preserved Foods
Cereal Meal and Pellets,Harvesting Machinery,Mill Machinery,Other Agricultural Machinery
Cermets,Zinc Powder,Silver,Nickel Powder
Chalk,Other Coloring Matter,Phosphinates (hypophosphites) and phosphonates (phosphites),Aluminium Housewares
Chalkboards,Leather further prepared after tanning or crusting of sheep or lamb,Equine and Bovine Hides,Other Edible Animal Products
Cheese,Peat,Particle Board,Milk
Chemical Analysis Instruments,Sawn Wood,Uncoated Paper,Rubber Stamps
Chlorates and Perchlorates,Other Headwear,Mechanical Wood Pulp,Cooking Hand Tools
Chlorides,Cutlery Sets,Casting Machines,Other Mineral
Chocolate,Confectionery Sugar,Washing and Bottling Machines,Other Plastic Sheetings
Citrus,Dried Fruits,Buckwheat,Animal or Vegetable Fertilizers
Clays,Iron Housewares,Other Iron Products,"Awnings, Tents, and Sails"
Cleaning Products,Waxes,Acrylic Polymers,Polyacetals
Cloves,Pepper,Spice Seeds,"Nutmeg, mace and cardamons"
Coal Briquettes,Machinery Having Individual Functions,Centrifuges,Aluminium Wire
Coal Tar Oil,Chlorides,Coated Flat-Rolled Iron,Other Iron Products
Coated Flat-Rolled Iron,Coal Briquettes,Knit Gloves,Coke
Coated Metal Soldering Products,Other Plastic Products,Centrifuges,Glass Bulbs
Coated Textile Fabric,Silk-worm Cocoons,Platinum Clad Metals,Reclaimed Rubber
Cocoa Powder,Cocoa Paste,Copper Housewares,Soybean Meal
"Coconuts, Brazil Nuts, and Cashews",Aluminium Foil,Knit Active Wear,Raw Plastic Sheeting
Coffee,Sulphur,Titanium,Oxygen Heterocyclic Compounds
Coffee and Tea Extracts,Other Vinyl Polymers,Print Production Machinery,Plastic Pipes
Coke,Iron Ore,Manganese Ore,Quartz
Cold-Rolled Iron,Tar,Seats,Glass Mirrors
Combs,Microscopes,Iron Ore,Precious Stones
Combustion Engines,Precious Metal Scraps,Non-Knit Active Wear,Engine Parts
Compasses,Bells and Other Metal Ornaments,Iron Housewares,Other Furniture
Composite Paper,Umbrella and Walking Stick Accessories,Plastic Building Materials,Gum Coated Textile Fabric
Compounded Unvulcanised Rubber,Carbon,Rubberworking Machinery,Rubber Pipes
Computers,Other Measuring Instruments,Photographic Chemicals,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays"
Concentrated Milk,"Awnings, Tents, and Sails",Scales,Other Knit Garments
Confectionery Sugar,Other Plastic Sheetings,Industrial Food Preperation Machinery,Raw Plastic Sheeting
Conveyor Belt Textiles,Copper Plating,Silver Clad Metals,Photographic Paper
Cooking Hand Tools,Audio and Video Recording Accessories,Sulfate Chemical Woodpulp,Semi chemical Woodpulp
Copper Fasteners,Electric Motor Parts,Copper Bars,Copper Housewares
Copper Housewares,"Niobium, Tantalum, Vanadium and Zirconium Ore",Rubber Thread,Other Edible Animal Products
Copper Pipe Fittings,Copper Housewares,Scrap Copper,Scrap Plastic
Copper Pipes,Refined Copper,Manganese Ore,Chemical Analysis Instruments
Copper Wire,Pickled Foods,Valves,Brochures
Corn,Mill Machinery,Iron Radiators,Liquid Dispersing Machines
Corrugated Paper,Scales,Other Knit Clothing Accessories,Other Knit Garments
Cotton Sewing Thread,Textile Fiber Machinery,Felt Machinery,Ethylene Polymers
Cranes,Petroleum Resins,Seats,Hydraulic Brake Fluid
Cucumbers,Melons,Legumes,Other Vegetables
Cutlery Sets,Iron Ore,Equine and Bovine Hides,Tanned Equine and Bovine Hides
Cutting Blades,Wooden Tool Handles,Sawn Wood,Cooking Hand Tools
Dairy Machinery,Other Aluminium Products,Woodworking machines,Liquid Dispersing Machines
Delivery Trucks,Motor vehicles; parts and accessories (8701 to 8705),Electrical Lighting and Signalling Equipment,Padlocks
Dental Products,Electrical Ignitions,Leather Apparel,Rubber Pipes
Dextrins,Sulfuric Acid,Knitted Hats,Knit Men's Suits
Drafting Tools,Chemical Analysis Instruments,Microscopes,Ferroalloys
Dried Fruits,Animal or Vegetable Fertilizers,Buckwheat,Sowing Seeds
Dried Legumes,Harvesting Machinery,Mill Machinery,Particle Board
Dried Vegetables,Other Oily Seeds,Soybeans,Chemical Analysis Instruments
Drilling Machines,Metalworking Machine Parts,Aluminium Plating,Boiler Plants
Dyeing Finishing Agents,Synthetic Coloring Matter,Amine Compounds,Chlorates and Perchlorates
Edible Offal,Industrial Food Preperation Machinery,Washing and Bottling Machines,Mill Machinery
Eggs,Washing and Bottling Machines,Paper Containers,Poultry
Electric Batteries,Copper Foil,Nickel Sheets,Oxometallic or Peroxometallic Acid Salts
Electric Filament,Other Edible Animal Products,Starches,Leather further prepared after tanning or crusting of animals (other than ovine)
Electric Furnaces,Hair Trimmers,Copper Fasteners,Other Cloth Articles
Electric Generating Sets,Electric Motors,Stainless Steel Ingots,Equine and Bovine Hides
Electric Heaters,Copper Powder,Non-Retail Animal Hair Yarn,Glass Beads
Electric Motor Parts,Other Synthetic Fabrics,Tulles and Net Fabric,Other Carpets
Electric Motors,Electric Motor Parts,Iron Housewares,Metal Insulating Fittings
Electric Musical Instruments,Unmanned aircraft,Calculators,Microphones and Headphones
Electric Soldering Equipment,Air Conditioners,Citrus and Melon Peels,Raw Aluminium
Electrical Capacitors,Watch Cases and Parts,Neck Ties,Other Clocks and Watches
Electrical Control Boards,Refined Copper,Halides,Frozen Bovine Meat
Electrical Ignitions,Electromagnets,Alkaline Metals,Non-Knit Men's Undergarments
Electrical Insulators,Metalworking Transfer Machines,Metal Insulating Fittings,Non-Mechanical Removal Machinery
Electrical Lighting and Signalling Equipment,Signaling Glassware,Insulated Wire,Polyacetals
Electrical Power Accessories,Other Electrical Machinery,Walking Sticks,Other Knit Clothing Accessories
Electrical Resistors,Other Glass Articles,Fairground Amusements,Other Electrical Machinery
Electrical Transformers,Tin Bars,Copper Bars,Other Edible Animal Products
Electromagnets,Glass with Edge Workings,Non-Retail Artificial Filament Yarn,Other Cloth Articles
Engine Parts,Dried Vegetables,Water Soluble Proteins,Other Inorganic Acids
